2014-10-25 21:02:52	chris	http://localhost:8888/processwire/	Parse Error: 	syntax error, unexpected '.' (line 1 of /Applications/MAMP/htdocs/processwire/site/templates/includes/head.inc)
2014-10-25 21:04:03	chris	http://localhost:8888/processwire/	Parse Error: 	syntax error, unexpected '/' (line 1 of /Applications/MAMP/htdocs/processwire/site/templates/includes/head.inc)
2014-10-25 21:04:10	chris	http://localhost:8888/processwire/	Compile Error: 	require_once(): Failed opening required 'functionsinc' (include_path='.:/Applications/MAMP/bin/php/php5.6.2/lib/php') (line 1 of /Applications/MAMP/htdocs/processwire/site/templates/includes/head.inc)
2014-10-25 21:05:10	chris	http://localhost:8888/processwire/	Compile Error: 	require_once(): Failed opening required './include/functions.inc' (include_path='.:/Applications/MAMP/bin/php/php5.6.2/lib/php') (line 1 of /Applications/MAMP/htdocs/processwire/site/templates/includes/head.inc)
2014-10-25 22:08:54	chris	http://localhost:8888/processwire/	Compile Error: 	require_once(): Failed opening required './includes/functions.inc' (include_path='.:/Applications/MAMP/bin/php/php5.6.2/lib/php') (line 2 of /Applications/MAMP/htdocs/processwire/site/templates/home.php)
2014-10-25 23:39:53	chris	http://localhost:8888/processwire/	Parse Error: 	syntax error, unexpected '<' (line 7 of /Applications/MAMP/htdocs/processwire/site/templates/includes/header.inc)
2014-10-25 23:40:05	chris	http://localhost:8888/processwire/	Recoverable Fatal Error: 	Object of class Closure could not be converted to string (line 7 of /Applications/MAMP/htdocs/processwire/site/templates/includes/header.inc)
2014-10-26 00:00:23	chris	http://localhost:8888/processwire/	Parse Error: 	syntax error, unexpected end of file (line 18 of /Applications/MAMP/htdocs/processwire/site/templates/home.php)
2014-10-26 00:40:34	chris	http://localhost:8888/processwire/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO) (line 17 of /Applications/MAMP/htdocs/processwire/site/templates/home.php)
2014-10-26 00:40:44	chris	http://localhost:8888/processwire/	Parse Error: 	syntax error, unexpected 'endforeach' (T_ENDFOREACH) (line 22 of /Applications/MAMP/htdocs/processwire/site/templates/home.php)
2014-10-26 12:56:07	chris	http://localhost:8888/processwire/	Error: 	Call to a member function renderPager() on null (line 20 of /Applications/MAMP/htdocs/processwire/site/templates/home.php)
2014-10-26 12:57:26	chris	http://localhost:8888/processwire/	Error: 	Call to a member function renderPager() on integer (line 20 of /Applications/MAMP/htdocs/processwire/site/templates/home.php)
2014-10-26 12:58:59	chris	http://localhost:8888/processwire/	Error: 	Call to a member function append() on null (line 14 of /Applications/MAMP/htdocs/processwire/site/templates/home.php)
2014-10-26 12:59:29	chris	http://localhost:8888/processwire/	Error: 	Call to a member function append() on null (line 13 of /Applications/MAMP/htdocs/processwire/site/templates/home.php)
2014-10-26 13:04:17	chris	http://localhost:8888/processwire/	Parse Error: 	syntax error, unexpected '$item' (T_VARIABLE) (line 11 of /Applications/MAMP/htdocs/processwire/site/templates/home.php)
2014-10-26 13:07:38	chris	http://localhost:8888/processwire/	Parse Error: 	syntax error, unexpected 'unset' (T_UNSET), expecting ':' (line 16 of /Applications/MAMP/htdocs/processwire/site/templates/home.php)
2014-10-26 13:07:49	chris	http://localhost:8888/processwire/	Parse Error: 	syntax error, unexpected 'unset' (T_UNSET), expecting ':' (line 16 of /Applications/MAMP/htdocs/processwire/site/templates/home.php)
2014-10-26 14:16:37	chris	http://localhost:8888/processwire/post-wrapper/test-post-with-text-and-images/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO) (line 23 of /Applications/MAMP/htdocs/processwire/site/templates/includes/header.inc)
